cpu_utilization,memory_usage,disk_io,network_latency,process_count,thread_count,context_switches,cache_miss_rate,temperature,uptime,power_consumption
49.65,59.71,88.16,16.24,109,972,4110,19.82,42.08,9.14,246.6
78.97,95.0,102.79,16.19,212,1764,7664,25.82,56.3,1.78,362.17
38.78,14.47,57.17,20.75,83,859,4592,12.53,44.38,10.7,266.24
7.4,32.1,27.28,5.0,61,349,1331,9.53,36.24,67.88,170.71
86.82,66.23,111.86,32.02,228,1505,7945,24.03,67.7,4548.72,332.64
77.64,62.94,96.69,15.04,247,2498,10247,25.26,57.42,1399.48,330.11
93.45,54.19,97.18,26.51,241,1381,8041,23.64,62.51,1.59,357.34
55.9,35.87,71.42,11.32,166,644,4564,22.75,49.94,1478.99,272.66
48.86,59.18,69.89,38.6,146,1383,6461,17.28,48.16,2.09,186.48
11.49,43.0,49.64,10.62,69,752,2757,17.81,35.44,29.8,267.69
59.85,65.19,89.12,60.77,135,1263,6541,20.97,54.14,3.03,256.73
24.34,14.07,29.0,13.55,106,664,2742,9.96,39.15,28.03,224.07
5.0,68.28,49.63,26.56,39,398,1730,11.95,35.79,12.83,190.77
51.72,68.71,80.68,10.7,164,661,3108,22.53,43.35,58.78,263.67
45.36,42.42,64.59,11.01,111,756,3795,18.99,44.68,11.64,315.85
86.71,44.98,107.73,7.71,216,1148,7769,23.82,60.25,5.83,297.69
85.65,52.47,111.27,9.09,240,888,5674,31.03,56.68,133.79,248.12
46.2,45.6,62.26,65.81,149,1346,6414,22.74,50.92,14.0,238.33
48.28,36.26,94.47,9.21,162,1000,4000,16.37,51.34,82.56,258.18
75.22,61.95,106.28,23.74,207,761,4824,21.49,53.4,4.16,317.9
11.65,5.0,20.0,22.34,45,202,1000,10.21,36.89,5365.52,160.07
6.99,47.66,70.81,19.8,46,279,1030,10.99,34.7,714.5,220.23
83.53,72.53,110.68,51.51,224,1479,7359,28.07,60.27,48.2,297.26
51.72,37.32,61.9,13.44,114,854,5034,16.16,52.21,16.51,281.11
89.84,44.25,121.66,18.69,202,1191,6187,24.62,65.51,7424.58,323.15
16.92,41.43,35.32,21.54,51,815,3145,13.52,38.37,47.39,203.82
49.6,56.96,89.78,18.16,150,933,4560,22.91,45.72,42.76,296.62
47.96,15.28,51.19,24.68,143,1435,6580,14.39,50.96,1.91,264.43
53.55,40.94,80.35,18.24,163,1115,5843,21.34,47.82,160.12,271.27
19.09,29.77,40.52,5.0,81,329,1865,11.05,33.37,1645.17,254.86
44.9,44.23,56.03,26.03,145,1584,6583,15.7,50.86,3.1,271.75
58.71,67.86,98.99,12.79,185,1816,7983,26.93,52.09,52.07,321.47
96.99,39.19,121.49,23.01,215,1568,9274,22.85,68.31,3490.2,344.87
6.37,52.21,61.29,5.82,44,325,1000,12.34,38.16,332.2,191.15
46.14,47.75,59.39,9.98,101,397,3589,17.93,41.08,143.91,271.22
7.02,13.63,25.93,26.09,58,610,2065,10.32,37.56,88.74,170.22
5.0,6.98,48.53,9.4,47,620,2222,8.84,31.36,207.05,176.08
38.53,38.99,61.54,18.04,106,295,2291,14.02,40.22,2.62,254.03
46.41,63.92,66.92,20.68,146,1454,6167,17.3,44.68,1083.65,228.39
21.55,46.07,51.56,24.52,79,766,3497,13.86,39.89,1650.6,175.66
5.82,9.29,66.48,95.65,42,366,1000,8.72,30.0,466.61,223.26
6.65,31.55,80.13,14.58,72,341,1601,9.36,30.0,2.08,197.15
90.85,74.92,110.04,44.2,277,905,6271,26.24,65.08,2.08,296.79
19.04,30.4,27.72,19.81,63,544,2794,13.46,30.5,1.24,233.12
47.06,38.67,63.84,27.64,118,1266,5830,17.77,46.66,9.22,272.51
68.68,59.4,140.28,17.25,238,864,6764,23.39,86.46,2609.93,333.98
43.73,55.96,67.59,15.61,112,438,2934,17.27,43.56,58.54,230.7
18.06,18.67,29.91,44.59,93,1143,4293,9.61,37.49,1.56,166.2
9.23,34.29,23.1,12.15,43,453,1898,9.38,33.01,7.75,183.6
55.35,65.92,81.88,25.16,168,747,4309,18.76,55.15,338.54,245.47
84.75,53.43,91.24,36.84,239,1432,7131,22.44,58.69,603.08,310.43
84.81,79.56,102.05,11.43,238,717,5793,26.03,56.92,1.68,373.45
56.35,56.37,75.14,7.25,164,521,4166,18.09,50.7,483.28,295.04
10.86,22.33,45.5,22.33,20,100,1000,9.54,43.5,55.11,183.65
71.39,36.89,110.32,27.39,208,770,5197,20.86,53.25,1.18,300.94
44.54,70.19,65.85,20.06,93,654,3684,20.66,52.4,8.99,279.65
90.84,52.82,95.21,17.41,203,987,6426,23.83,66.85,2.07,348.83
13.65,10.01,23.18,16.72,87,1005,3115,9.56,32.67,25.83,175.47
9.13,16.17,20.0,16.44,81,911,3891,8.39,30.49,1.38,163.78
45.69,39.5,58.04,68.22,159,2018,8336,16.71,51.53,12681.9,299.44
89.53,59.46,113.68,15.05,182,807,6076,27.89,57.72,3741.2,318.61
14.75,6.45,35.78,18.89,30,100,1000,13.86,35.52,6031.45,228.31
50.52,31.13,97.78,26.02,140,947,4109,15.23,50.64,13.09,260.97
71.03,57.98,94.48,19.25,188,1847,8277,22.79,58.41,829.78,285.55
45.95,39.19,61.55,13.01,149,1782,6807,16.81,51.3,126.92,249.01
6.35,32.68,29.69,50.75,29,287,1228,23.13,33.33,145.3,175.55
24.17,26.91,41.02,30.93,43,355,1842,11.77,38.77,29.38,173.43
6.26,33.91,88.03,18.66,67,432,1000,10.09,31.04,80.05,224.75
9.55,19.44,24.11,8.84,34,290,1848,8.37,35.42,259.73,150.0
45.43,69.72,89.86,31.05,151,816,3702,19.14,42.93,4260.15,285.32
56.48,70.97,94.57,18.07,141,842,4763,21.87,53.81,1795.13,293.17
50.66,50.71,64.12,5.0,99,935,4466,17.6,49.98,3.43,274.35
91.71,40.66,122.72,11.02,238,2079,9911,22.26,61.18,162.63,338.08
80.27,58.86,104.26,11.22,196,2330,9393,21.94,60.73,7.84,344.47
80.61,28.3,81.24,5.96,195,892,5026,20.59,61.21,2304.54,384.91
11.05,5.0,52.55,11.42,81,834,3204,7.73,33.69,8919.71,189.45
72.49,71.37,91.92,14.46,188,1705,7807,22.99,50.25,216.17,337.45
83.7,95.06,115.34,20.42,206,1153,6821,32.94,59.04,687.66,407.15
7.86,23.57,50.12,13.6,23,203,1478,8.67,33.13,299.82,191.4
56.33,46.36,70.65,14.4,125,1288,6643,18.39,53.94,2214.57,237.46
51.91,39.75,69.39,76.4,113,904,5012,17.43,51.28,634.23,295.73
82.22,71.97,113.7,22.45,198,987,6879,30.47,58.43,171.06,314.48
13.52,5.0,20.0,27.63,29,221,1000,10.81,36.14,16.49,162.5
6.63,24.67,30.93,30.46,58,620,2246,15.69,34.06,14881.53,244.77
91.87,67.9,107.97,15.48,241,953,6734,26.94,66.62,10106.02,339.28
70.0,65.18,111.93,17.83,198,2135,9064,23.28,52.83,3.56,319.29
90.32,78.24,124.8,19.05,280,1573,7469,28.66,62.77,28.54,353.58
21.45,26.27,30.4,15.12,130,898,3357,12.99,40.04,823.86,200.13
13.72,16.29,36.8,7.33,103,579,2020,13.86,38.25,5.07,218.32
88.67,61.65,126.3,17.52,271,2500,10821,23.25,63.75,300.81,283.97
45.42,53.27,66.72,13.4,120,1164,5750,16.94,44.28,19.33,275.63
92.19,80.7,123.01,19.27,208,1202,7506,33.14,60.79,39.62,279.78
90.24,77.07,195.06,42.52,209,1915,9370,25.69,65.74,1.01,341.21
75.14,52.7,82.91,12.1,229,1576,8411,23.5,59.25,5067.8,325.68
57.31,68.21,74.64,23.38,162,1340,6497,19.6,52.74,221.07,283.1
52.23,28.35,59.43,9.09,151,1294,5932,16.22,51.69,4040.5,298.1
98.81,40.01,102.29,21.35,134,542,2874,16.78,57.69,437.46,324.48
93.63,75.61,113.57,8.26,290,2088,9105,25.37,65.48,7305.21,396.02
56.68,30.96,67.21,7.48,131,930,4878,17.5,51.78,7.97,247.47
5.0,12.26,60.7,8.59,37,401,1120,8.09,31.57,71.54,187.37
11.0,32.91,57.4,12.88,33,104,1000,15.82,40.51,63.85,189.03
11.13,5.0,22.52,20.48,20,118,1000,9.67,34.8,1.13,187.76
94.33,50.83,101.43,19.0,272,2500,11743,26.15,71.19,2.1,340.71
87.91,41.44,97.37,8.45,225,2500,11309,26.11,60.52,14881.75,376.53
11.68,28.41,28.48,16.69,55,806,2669,11.67,36.95,3.93,191.48
63.19,57.27,83.51,12.81,172,538,4591,25.98,51.02,23.76,285.48
43.05,65.54,61.51,7.85,124,1150,5324,21.92,52.55,74.15,217.94
47.19,40.63,54.28,17.66,133,835,4129,17.1,47.47,159.8,285.54
50.39,40.8,95.96,16.91,167,1036,5039,19.16,45.73,1.14,280.51
96.69,71.03,107.52,38.81,267,1934,9185,29.97,61.48,3990.69,389.25
92.63,96.44,102.02,6.94,253,1851,8592,35.0,64.2,10.97,408.22
5.0,23.83,20.0,10.62,54,582,2233,13.45,30.0,6103.59,220.76
77.85,70.94,113.61,13.2,193,651,6011,23.34,58.54,18.83,294.06
41.24,42.68,58.51,17.58,142,1108,5285,17.41,49.16,1.44,241.58
14.71,33.45,29.63,16.41,60,474,2057,10.0,37.4,3553.38,169.81
39.89,26.77,58.56,18.69,106,1090,4643,17.91,48.07,2625.75,296.3
58.51,37.04,66.8,9.88,150,1195,5205,19.87,54.04,21.26,284.68
8.95,17.17,25.61,7.54,56,429,2097,8.35,35.17,39.63,197.17
91.87,64.0,120.55,38.6,236,2469,10661,26.8,66.7,228.01,290.13
26.09,47.44,53.4,6.19,76,269,1607,22.22,38.8,14.86,240.7
90.74,39.38,123.12,8.58,190,995,5907,22.86,62.25,2284.83,361.33
6.38,34.51,53.75,17.37,21,233,1539,19.63,37.2,2236.32,242.07
90.63,70.77,121.17,9.31,217,2418,10789,24.61,69.86,5825.08,408.52
89.06,76.1,112.86,26.87,210,1769,8640,24.53,62.23,26.27,382.59
49.21,19.4,76.96,23.02,164,625,3683,15.57,45.11,341.56,244.44
5.0,35.69,41.76,57.46,49,260,1531,12.61,30.0,595.34,170.74
11.18,5.0,20.0,9.45,38,221,1847,8.45,30.77,4.0,189.49
86.67,71.14,117.55,18.67,219,1286,7426,24.06,65.08,1.02,344.95
98.01,77.88,117.17,18.99,253,1080,7732,30.78,81.48,57.34,379.8
83.95,70.82,101.91,25.08,249,2392,9654,25.43,62.88,1.11,325.32
14.4,16.8,27.51,11.57,86,562,1685,25.57,36.32,6030.77,232.12
5.38,29.48,22.72,9.4,29,175,1000,8.79,37.64,20.79,179.37
52.79,22.28,54.79,46.99,146,856,4812,15.78,49.87,143.23,289.36
85.48,73.8,102.13,11.76,251,2086,9142,23.83,62.29,2.58,379.29
68.54,66.28,99.2,17.11,190,804,6766,29.66,83.8,6008.96,327.52
10.51,19.09,145.11,20.39,51,491,2038,11.11,30.0,872.72,177.66
93.74,67.81,110.14,12.13,267,2500,11347,28.69,64.54,101.37,377.6
42.08,62.2,67.03,8.08,178,1779,7420,16.93,44.94,4012.85,249.37
7.74,9.34,20.5,20.88,20,177,1000,6.92,31.05,186.25,168.71
16.04,29.26,30.52,15.55,69,321,1481,9.82,42.8,6621.39,200.35
89.58,70.19,108.94,16.66,237,1352,7705,30.95,57.94,2559.09,329.05
57.86,48.34,75.81,11.4,134,1725,6958,17.96,50.25,5092.28,301.72
93.08,85.98,109.01,5.0,247,2215,10385,30.71,58.33,780.43,425.58
83.16,91.89,103.98,19.81,224,1502,7868,25.48,59.21,4.97,359.63
7.94,38.04,55.05,14.49,59,262,1578,14.99,30.76,261.24,242.97
38.25,41.77,72.74,8.21,102,1307,5668,16.6,42.74,712.34,231.75
22.49,73.1,50.19,10.99,84,918,3358,15.3,35.62,1.13,202.54
86.81,64.19,135.52,14.74,226,2003,8949,33.69,63.82,116.38,357.54
82.9,85.36,121.66,12.72,214,1831,8707,27.47,58.75,1902.26,295.5
44.67,23.7,51.63,16.05,139,839,4953,16.05,42.27,15.62,226.12
86.83,65.93,126.95,10.63,246,2500,10076,25.09,54.4,38.19,316.21
91.95,53.14,98.29,39.25,224,602,5788,25.8,63.98,10286.39,392.01
34.94,31.17,56.04,62.33,78,697,3478,21.77,39.74,2506.68,259.68
60.52,29.79,69.05,22.57,128,742,4290,27.77,54.54,310.57,263.78
18.81,31.04,73.09,8.99,101,1228,3477,13.48,35.12,3.47,236.7
79.35,58.7,110.38,7.09,181,929,5313,26.51,62.35,19.92,299.65
93.04,74.84,108.77,12.65,271,1366,7589,26.27,65.91,6933.21,392.49
90.07,74.09,129.02,38.13,236,985,5632,26.92,66.81,9.29,353.86
47.46,24.2,48.72,7.17,130,1026,5544,16.99,49.66,2.58,275.37
10.6,33.48,24.87,38.26,84,809,3172,10.33,36.81,14360.14,229.11
44.0,45.61,97.28,27.75,125,583,4457,16.14,41.56,2134.76,269.63
20.4,16.31,30.36,7.55,107,287,1000,13.26,38.18,150.9,219.12
53.71,47.37,77.92,15.65,181,1490,7011,17.76,51.64,7.0,251.98
95.27,62.29,161.87,11.16,222,2454,11163,26.62,60.32,3.04,298.6
61.16,53.08,75.82,5.23,135,1641,6845,24.7,54.49,9737.47,289.51
13.14,42.85,37.02,11.03,43,172,1000,12.51,36.02,418.84,234.97
44.65,31.88,61.07,34.34,102,549,3369,17.64,44.97,4.07,216.91
43.88,48.0,86.0,33.01,154,1363,6304,18.41,44.28,223.35,237.15
18.2,29.14,30.54,7.19,114,199,1227,13.44,35.91,1.0,222.93
48.33,28.87,85.18,19.02,149,807,4739,14.95,48.82,276.32,275.12
11.76,27.43,21.06,15.08,70,433,1233,15.53,34.41,217.54,190.29
46.13,43.08,61.67,13.25,111,616,4744,16.74,43.6,167.42,253.53
49.18,53.79,67.47,11.09,140,1241,6634,20.06,47.87,10.4,275.79
21.87,45.83,52.64,24.72,78,585,2342,12.43,38.53,3.24,214.87
42.87,51.63,88.98,11.3,147,762,4745,18.25,89.42,3359.28,256.81
90.53,60.61,112.55,20.44,192,860,6704,25.4,64.27,3.94,332.09
48.98,37.16,70.85,15.34,130,809,4083,15.41,48.4,38.62,264.27
12.47,19.0,20.0,19.62,68,705,2512,9.16,31.93,1.19,214.33
83.34,64.07,99.46,19.35,189,1853,8918,24.25,64.24,273.46,335.26
54.6,58.17,72.44,16.73,86,542,3441,18.69,50.16,48.43,296.52
53.83,46.39,67.73,43.75,118,859,4734,19.92,52.95,12.03,311.78
54.78,49.51,75.37,9.34,167,2009,8843,18.76,49.55,1612.71,334.68
48.88,62.69,64.93,52.95,137,1362,5939,18.07,40.44,1.37,292.04
92.03,64.85,161.15,32.39,202,2130,9539,24.26,67.11,2479.11,316.14
20.57,22.34,37.43,14.39,44,537,2087,13.01,37.44,269.07,220.47
12.17,36.29,36.35,18.75,69,684,2130,14.05,30.86,8.99,253.03
16.41,33.15,66.23,12.8,20,100,1387,11.01,40.24,74.74,205.98
50.03,54.45,65.73,16.21,95,858,4758,21.62,45.91,329.8,300.7
62.12,56.48,100.06,50.38,147,1828,6938,19.96,63.02,4687.25,288.25
92.5,75.25,121.32,12.47,200,1049,6673,26.81,57.5,14879.66,352.82
17.83,6.62,24.13,15.0,65,489,1808,21.47,36.05,71.89,224.48
5.09,40.96,25.1,5.66,35,100,1000,19.54,37.21,2.29,249.03
83.15,42.07,110.99,24.88,194,2314,10286,21.01,56.47,32.42,337.73
38.57,42.64,49.36,18.01,132,974,4300,17.28,44.12,2.57,260.7
12.47,29.1,33.16,40.59,60,469,2385,15.04,32.83,2664.52,201.2
93.26,52.95,103.36,5.0,228,1876,8563,25.65,56.53,3.08,297.01
93.15,52.9,136.1,9.18,276,2500,11394,26.21,62.54,4156.84,410.65
57.04,34.61,65.38,22.42,165,1517,7266,18.53,55.74,29.14,300.42
97.53,85.39,114.2,46.31,275,2500,11600,34.3,60.04,207.73,383.0
6.87,5.0,20.0,8.31,67,427,1000,11.04,30.0,17.84,209.04
7.36,5.0,29.87,11.87,126,1357,4129,7.74,33.54,1.2,168.42
64.78,58.58,80.94,35.18,223,2130,8765,22.63,51.46,1904.45,302.62
81.4,18.62,116.06,17.15,211,1444,7857,20.18,56.06,24.74,351.53
53.34,76.74,93.11,12.52,164,1414,6267,25.5,51.35,109.3,285.17
43.33,40.35,66.07,9.5,116,1358,5412,19.28,45.87,7.17,239.98
59.14,81.28,100.19,24.44,160,701,4333,22.51,52.24,25.0,280.95
85.39,93.31,127.94,52.27,205,1102,7480,27.56,59.7,1.29,359.72
10.34,28.29,42.44,13.1,25,100,1000,11.72,34.72,274.42,186.53
49.32,73.71,69.74,29.76,168,785,4131,23.37,45.67,13199.69,295.39
92.35,85.96,117.33,9.94,295,2500,11560,26.31,63.87,2.17,350.0
48.48,48.83,64.57,34.75,124,729,5047,17.97,51.58,31.5,326.86
57.8,46.32,65.37,67.59,138,733,5534,27.33,55.91,491.5,244.31
9.9,5.0,20.0,58.21,21,124,1792,10.1,34.01,1596.49,171.53
50.21,17.16,65.29,9.34,105,1010,4846,17.91,47.35,11069.51,268.11
51.33,49.89,76.14,9.03,156,1052,5199,20.04,48.0,3.18,262.25
91.48,45.02,107.21,6.21,258,1327,7029,22.41,66.6,2.41,344.43
13.03,5.0,47.87,13.86,67,498,2515,9.8,30.0,49.06,223.47
5.0,13.68,20.0,18.46,20,100,1000,8.44,30.0,1.45,197.57
16.04,34.21,46.47,21.94,67,347,2280,12.7,41.4,12752.0,239.2
7.84,5.0,20.0,5.16,25,171,1000,7.09,35.08,4289.62,154.9
45.11,41.8,83.7,26.28,113,1230,5265,24.85,46.86,520.76,308.18
38.59,44.64,56.15,6.71,71,163,1975,25.67,41.93,169.86,268.34
94.68,42.7,98.15,38.1,225,2265,10676,26.52,63.7,40.5,352.19
8.68,28.98,29.17,16.26,42,491,2256,9.59,36.5,3.32,174.4
10.47,19.08,30.04,24.91,42,180,1480,12.95,32.24,3533.89,228.73
86.16,79.19,101.24,13.11,215,2500,11247,24.79,65.05,2016.91,409.98
44.16,71.72,83.51,49.14,141,1719,6797,20.51,46.87,11779.02,269.2
9.2,43.34,27.55,15.46,45,497,1872,17.14,34.03,991.68,165.42
13.06,28.44,54.3,14.19,51,404,1514,13.49,30.0,3298.79,192.2
9.24,34.79,30.53,14.39,42,276,1078,9.75,37.9,1.1,173.88
41.39,19.5,41.32,21.56,106,1099,4810,13.51,44.24,3619.88,260.47
59.26,72.5,90.85,9.72,117,1101,5440,21.0,49.31,29.39,264.36
46.38,21.05,56.2,8.52,95,1204,4831,14.81,47.36,1.37,279.13
54.42,52.0,75.0,15.59,136,579,3402,19.41,50.22,3448.88,264.49
85.14,54.02,110.2,11.93,258,1429,7932,23.31,62.7,70.64,310.7
61.89,57.8,84.42,12.9,160,555,3218,19.98,52.79,2.76,275.61
86.01,75.65,107.81,63.09,189,1690,8649,25.27,65.02,1.18,359.82
88.53,57.64,94.11,9.06,238,1370,7951,27.73,61.28,2.72,332.45
23.27,24.37,63.5,18.29,93,382,2175,11.3,37.73,417.8,242.74
8.61,22.81,20.46,21.07,67,601,2248,10.02,33.02,19.78,197.92
10.54,33.35,23.54,18.74,32,234,1178,10.04,34.4,4280.72,202.31
54.24,39.2,61.03,23.85,116,403,3930,17.56,46.26,969.55,341.63
92.89,66.3,111.04,6.81,249,1435,8416,26.76,62.48,201.95,396.56
90.01,95.0,125.96,7.95,247,2070,9898,26.12,60.16,13202.7,431.58
43.34,67.01,62.09,18.79,138,1438,5998,19.05,41.8,12.6,223.4
8.31,60.16,37.63,28.1,20,316,1604,17.29,30.0,988.97,183.16
58.2,51.76,108.16,31.91,170,1185,6323,18.82,53.71,2667.26,332.21
46.02,39.2,85.79,50.28,98,1216,5303,16.31,46.94,4118.82,287.95
40.76,32.34,83.12,9.03,131,980,4550,13.8,43.38,5177.81,249.75
42.42,38.49,51.13,17.43,107,1290,5767,17.36,45.73,160.59,244.36
55.57,45.96,68.49,57.36,141,1143,5145,23.17,48.69,26.05,284.85
16.47,19.88,40.39,35.33,59,744,2627,12.51,39.2,42.5,260.12
42.49,40.68,63.5,21.31,106,525,3198,14.7,49.15,4102.33,220.09
95.74,57.45,104.97,27.75,257,2500,10861,28.36,61.75,74.33,314.01
92.35,68.54,114.09,45.54,199,2161,10341,25.07,63.04,1.19,380.73
23.98,37.36,51.2,39.5,96,880,3631,15.49,39.68,542.83,218.05
10.89,7.89,38.99,23.73,73,585,2285,8.03,38.96,11.14,216.62
12.39,17.0,23.54,19.77,59,526,3283,11.75,34.35,9.34,213.5
95.82,91.07,120.33,39.42,237,2500,12154,28.09,68.26,88.1,372.66
47.5,45.73,66.48,24.48,98,872,3986,16.78,45.82,44.7,256.11
81.82,56.8,158.23,15.25,224,2221,9209,22.98,59.05,1917.09,326.51
46.47,47.17,65.64,24.62,92,355,3232,15.76,47.13,1.31,269.75
41.16,35.8,54.62,17.5,118,1143,5168,15.15,44.77,201.47,214.15
49.86,27.7,70.46,34.79,166,2029,8243,20.04,49.97,39.18,253.22
89.42,90.48,109.69,13.7,237,1755,8431,28.63,58.97,2.29,370.66
6.77,22.19,208.09,9.46,20,128,1300,8.9,30.22,11.32,150.0
18.48,33.42,38.87,25.45,68,225,1000,11.05,34.49,2.85,265.52
5.94,15.26,22.3,29.71,62,754,2157,8.09,30.45,12.21,186.23
75.52,50.54,92.95,7.22,193,1386,6687,23.8,54.62,27.84,301.13
18.13,16.96,47.32,12.35,43,340,1067,10.5,40.49,67.41,205.18
5.67,28.7,20.0,10.12,71,635,1000,10.65,36.18,2.7,216.86
95.42,55.16,100.62,7.34,235,2500,10679,26.84,65.21,3698.32,397.44
51.13,66.31,71.48,31.24,122,1419,5464,23.31,45.92,52.04,235.64
97.58,65.63,119.95,15.8,251,1509,8510,30.96,69.1,8.16,342.39
55.02,55.84,67.32,13.86,162,1553,6475,18.67,45.58,93.72,336.98
75.0,42.42,248.07,19.44,202,1085,9172,27.47,55.31,230.38,299.36
5.0,7.22,20.0,15.65,55,725,1787,7.71,38.58,208.5,229.22
39.34,65.34,61.2,24.58,74,959,4570,25.25,43.92,62.39,231.65
16.23,21.04,33.7,23.84,57,281,2061,10.16,38.3,12526.16,191.98
7.17,5.0,24.62,15.93,20,139,1000,9.08,31.82,7.97,152.72
73.91,44.97,82.36,17.6,190,2210,9713,20.16,59.32,905.21,302.76
10.92,43.51,44.1,28.75,29,334,1000,10.39,34.68,1.45,171.27
81.03,59.93,96.85,18.55,208,1143,7230,24.24,63.02,28.4,353.62
